Year,Sector,FDI Amount
2005-06,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0.93
2006-07,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,64.06
2007-08,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,182.92
2008-09,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,172.7
2009-10,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,324.56
2010-11,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,675.07
2011-12,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,386.28
2012-13,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,283.89
2013-14,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,485.37
2014-15,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,870.25
2015-16,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,4510.71
2016-17,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,1860.73
2000-01,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",24.33
2001-02,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",51.75
2002-03,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",36.1
2003-04,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",47.04
2004-05,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",152.06
2005-06,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",228.71
2006-07,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",1392.95
2007-08,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",3887.33
2008-09,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",4657.51
2009-10,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",5466.13
2010-11,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",1663.03
2011-12,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",3140.78
2012-13,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",1332.49
2013-14,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",1226.05
2014-15,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",769.14
2015-16,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",112.55
2016-17,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",105.14
2000-01,MISCELLANEOUS INDUSTRIES,832.07
2001-02,MISCELLANEOUS INDUSTRIES,221.37
2002-03,MISCELLANEOUS INDUSTRIES,218.76
2003-04,MISCELLANEOUS INDUSTRIES,235.48
2004-05,MISCELLANEOUS INDUSTRIES,121.83
2005-06,MISCELLANEOUS INDUSTRIES,164.76
2006-07,MISCELLANEOUS INDUSTRIES,304.87
2007-08,MISCELLANEOUS INDUSTRIES,528.42
2008-09,MISCELLANEOUS INDUSTRIES,1549.7
2009-10,MISCELLANEOUS INDUSTRIES,1147.56
2010-11,MISCELLANEOUS INDUSTRIES,1475.97
2011-12,MISCELLANEOUS INDUSTRIES,813.38
2012-13,MISCELLANEOUS INDUSTRIES,229.49
2013-14,MISCELLANEOUS INDUSTRIES,468.74
2014-15,MISCELLANEOUS INDUSTRIES,765.88
2015-16,MISCELLANEOUS INDUSTRIES,668.77
2016-17,MISCELLANEOUS INDUSTRIES,296.4
